Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_Tcell	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_HALLMARK
823_at	823	LOC823	CAPN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
11132_at	11132	LOC11132	CAPN10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
11131_at	11131	LOC11131	CAPN11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
147968_at	147968	LOC147968	CAPN12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
92291_at	92291	LOC92291	CAPN13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
440854_at	440854	LOC440854	CAPN14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6650_at	6650	LOC6650	CAPN15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
824_at	824	LOC824	CAPN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
825_at	825	LOC825	CAPN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
726_at	726	LOC726	CAPN5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
827_at	827	LOC827	CAPN6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23473_at	23473	LOC23473	CAPN7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
388743_at	388743	LOC388743	CAPN8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10753_at	10753	LOC10753	CAPN9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
826_at	826	LOC826	CAPNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84290_at	84290	LOC84290	CAPNS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4076_at	4076	LOC4076	CAPRIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
65981_at	65981	LOC65981	CAPRIN2	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA NA
828_at	828	LOC828	CAPS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84698_at	84698	LOC84698	CAPS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
133690_at	133690	LOC133690	CAPSL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
829_at	829	LOC829	CAPZA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
830_at	830	LOC830	CAPZA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
93661_at	93661	LOC93661	CAPZA3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
832_at	832	LOC832	CAPZB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
29775_at	29775	LOC29775	CARD10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84433_at	84433	LOC84433	CARD11	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79092_at	79092	LOC79092	CARD14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
114769_at	114769	LOC114769	CARD16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
440068_at	440068	LOC440068	CARD17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
59082_at	59082	LOC59082	CARD18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84674_at	84674	LOC84674	CARD6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
22900_at	22900	LOC22900	CARD8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64170_at	64170	LOC64170	CARD9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79800_at	79800	LOC79800	CARF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23589_at	23589	LOC23589	CARHSP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55739_at	55739	LOC55739	CARKD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10498_at	10498	LOC10498	CARM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57571_at	57571	LOC57571	CARNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
833_at	833	LOC833	CARS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79587_at	79587	LOC79587	CARS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9607_at	9607	LOC9607	CARTPT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55259_at	55259	LOC55259	CASC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
399726_at	399726	LOC399726	CASC10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
401237_at	401237	LOC401237	CASC15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
255082_at	255082	LOC255082	CASC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
22794_at	22794	LOC22794	CASC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
113201_at	113201	LOC113201	CASC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57082_at	57082	LOC57082	CASC5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64921_at	64921	LOC64921	CASD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8573_at	8573	LOC8573	CASK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57524_at	57524	LOC57524	CASKIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57513_at	57513	LOC57513	CASKIN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
834_at	834	LOC834	CASP1	Monocyte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG IFNA
843_at	843	LOC843	CASP10	NA	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	NA NA
100506742_at	100506742	LOC100506742	CASP12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23581_at	23581	LOC23581	CASP14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
835_at	835	LOC835	CASP2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
836_at	836	LOC836	CASP3	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
837_at	837	LOC837	CASP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
838_at	838	LOC838	CASP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
839_at	839	LOC839	CASP6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
840_at	840	LOC840	CASP7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IFNG NA
841_at	841	LOC841	CASP8	Multiple	NA	NA	NA	NA	NA	NA	NA	cluster1	NA	NA	IFNG IFNA
9994_at	9994	LOC9994	CASP8AP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
842_at	842	LOC842	CASP9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
844_at	844	LOC844	CASQ1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
845_at	845	LOC845	CASQ2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
846_at	846	LOC846	CASR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57091_at	57091	LOC57091	CASS4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
831_at	831	LOC831	CAST	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
54897_at	54897	LOC54897	CASZ1	NA	NA	NA	NA	Down	NA	NA	NA	NA	NA	NA	NA NA
847_at	847	LOC847	CAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
375307_at	375307	LOC375307	CATIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
117144_at	117144	LOC117144	CATSPER1	NA	NA	NA	NA	NA	NA	NA	NA	NA	CM009_up	NA	NA NA
117155_at	117155	LOC117155	CATSPER2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
347732_at	347732	LOC347732	CATSPER3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
378807_at	378807	LOC378807	CATSPER4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79820_at	79820	LOC79820	CATSPERB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
257062_at	257062	LOC257062	CATSPERD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57828_at	57828	LOC57828	CATSPERG	NA	NA	NA	ccrcc3.up	NA	NA	NA	NA	NA	NA	NA	NA NA
857_at	857	LOC857	CAV1	NA	NA	91_DN	ccrcc3.dn	NA	NA	NA	NA	NA	NA	NA	NA NA
858_at	858	LOC858	CAV2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
859_at	859	LOC859	CAV3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9139_at	9139	LOC9139	CBFA2T2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
863_at	863	LOC863	CBFA2T3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
865_at	865	LOC865	CBFB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
867_at	867	LOC867	CBL	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
868_at	868	LOC868	CBLB	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23624_at	23624	LOC23624	CBLC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79872_at	79872	LOC79872	CBLL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
869_at	869	LOC869	CBLN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
147381_at	147381	LOC147381	CBLN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
643866_at	643866	LOC643866	CBLN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
140689_at	140689	LOC140689	CBLN4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
873_at	873	LOC873	CBR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
874_at	874	LOC874	CBR3	Dendritic Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84869_at	84869	LOC84869	CBR4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
875_at	NA	NA	CBS || ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10951_at	10951	LOC10951	CBX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84733_at	84733	LOC84733	CBX2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
11335_at	11335	LOC11335	CBX3	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8535_at	8535	LOC8535	CBX4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23468_at	23468	LOC23468	CBX5	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23466_at	23466	LOC23466	CBX6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23492_at	23492	LOC23492	CBX7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57332_at	57332	LOC57332	CBX8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
25776_at	25776	LOC25776	CBY1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
54862_at	54862	LOC54862	CC2D1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
200014_at	200014	LOC200014	CC2D1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57545_at	57545	LOC57545	CC2D2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
387707_at	387707	LOC387707	CC2D2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55749_at	55749	LOC55749	CCAR1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57805_at	57805	LOC57805	CCAR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
147372_at	147372	LOC147372	CCBE1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
883_at	883	LOC883	CCBL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
56267_at	56267	LOC56267	CCBL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
112869_at	112869	LOC112869	CCDC101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
92922_at	92922	LOC92922	CCDC102A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79839_at	79839	LOC79839	CCDC102B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
388389_at	388389	LOC388389	CCDC103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
112942_at	112942	LOC112942	CCDC104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
126402_at	126402	LOC126402	CCDC105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
29903_at	29903	LOC29903	CCDC106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
203260_at	203260	LOC203260	CCDC107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
255101_at	255101	LOC255101	CCDC108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55013_at	55013	LOC55013	CCDC109B	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	CM009_up	NA	NA NA
220136_at	220136	LOC220136	CCDC11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
256309_at	256309	LOC256309	CCDC110	NA	NA	NA	NA	NA	NA	NA	NA	NA	CM009_down	NA	NA NA
153733_at	153733	LOC153733	CCDC112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
29070_at	29070	LOC29070	CCDC113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
93233_at	93233	LOC93233	CCDC114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84317_at	84317	LOC84317	CCDC115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
164592_at	164592	LOC164592	CCDC116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
150275_at	150275	LOC150275	CCDC117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
151903_at	151903	LOC151903	CCDC12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
90060_at	90060	LOC90060	CCDC120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
160857_at	160857	LOC160857	CCDC122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
115098_at	115098	LOC115098	CCDC124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
202243_at	202243	LOC202243	CCDC125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
90693_at	90693	LOC90693	CCDC126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
133957_at	133957	LOC133957	CCDC127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
223075_at	223075	LOC223075	CCDC129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
152206_at	152206	LOC152206	CCDC13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
81576_at	81576	LOC81576	CCDC130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55610_at	55610	LOC55610	CCDC132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79879_at	79879	LOC79879	CCDC134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84229_at	84229	LOC84229	CCDC135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64753_at	64753	LOC64753	CCDC136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
339230_at	339230	LOC339230	CCDC137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
165055_at	165055	LOC165055	CCDC138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64770_at	64770	LOC64770	CCDC14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
151278_at	151278	LOC151278	CCDC140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84865_at	84865	LOC84865	CCDC142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57639_at	57639	LOC57639	CCDC146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
159686_at	159686	LOC159686	CCDC147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
130940_at	130940	LOC130940	CCDC148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
91050_at	91050	LOC91050	CCDC149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80071_at	80071	LOC80071	CCDC15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
284992_at	284992	LOC284992	CCDC150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
115948_at	115948	LOC115948	CCDC151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100129792_at	100129792	LOC100129792	CCDC152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
283152_at	283152	LOC283152	CCDC153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
645811_at	645811	LOC645811	CCDC154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
147872_at	147872	LOC147872	CCDC155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
550631_at	550631	LOC550631	CCDC157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
339965_at	339965	LOC339965	CCDC158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
126075_at	126075	LOC126075	CCDC159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
347475_at	347475	LOC347475	CCDC160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
221262_at	221262	LOC221262	CCDC162P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
126661_at	126661	LOC126661	CCDC163P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
100130274_at	100130274	LOC100130274	CCDC166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
154467_at	154467	LOC154467	CCDC167	Lymphoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
643677_at	643677	LOC643677	CCDC168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
728591_at	728591	LOC728591	CCDC169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
149483_at	149483	LOC149483	CCDC17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80129_at	80129	LOC80129	CCDC170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
203238_at	203238	LOC203238	CCDC171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
374355_at	374355	LOC374355	CCDC172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
129881_at	129881	LOC129881	CCDC173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51244_at	51244	LOC51244	CCDC174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80127_at	80127	LOC80127	CCDC176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
56936_at	56936	LOC56936	CCDC177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
374864_at	374864	LOC374864	CCDC178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
343099_at	343099	LOC343099	CCDC18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57821_at	57821	LOC57821	CCDC181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84960_at	84960	LOC84960	CCDC183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
25790_at	25790	LOC25790	CCDC19	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA NA
28952_at	28952	LOC28952	CCDC22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
374969_at	374969	LOC374969	CCDC23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
149473_at	149473	LOC149473	CCDC24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55246_at	55246	LOC55246	CCDC25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
148870_at	148870	LOC148870	CCDC27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
25901_at	25901	LOC25901	CCDC28A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79140_at	79140	LOC79140	CCDC28B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
83643_at	83643	LOC83643	CCDC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
728621_at	728621	LOC728621	CCDC30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80125_at	80125	LOC80125	CCDC33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
91057_at	91057	LOC91057	CCDC34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
339834_at	339834	LOC339834	CCDC36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
348807_at	348807	LOC348807	CCDC37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
120935_at	120935	LOC120935	CCDC38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
339829_at	339829	LOC339829	CCDC39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55036_at	55036	LOC55036	CCDC40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51134_at	51134	LOC51134	CCDC41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
146849_at	146849	LOC146849	CCDC42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
387885_at	387885	LOC387885	CCDC42B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
124808_at	124808	LOC124808	CCDC43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
57003_at	57003	LOC57003	CCDC47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
152137_at	152137	LOC152137	CCDC50	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA NA
79714_at	79714	LOC79714	CCDC51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
51019_at	51019	LOC51019	CCDC53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84692_at	84692	LOC84692	CCDC54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
284001_at	284001	LOC284001	CCDC57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
29080_at	29080	LOC29080	CCDC59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8030_at	8030	LOC8030	CCDC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
160777_at	160777	LOC160777	CCDC60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
729440_at	729440	LOC729440	CCDC61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84660_at	84660	LOC84660	CCDC62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
160762_at	160762	LOC160762	CCDC63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
92558_at	92558	LOC92558	CCDC64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
146439_at	146439	LOC146439	CCDC64B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
85478_at	85478	LOC85478	CCDC65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
285331_at	285331	LOC285331	CCDC66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
159989_at	159989	LOC159989	CCDC67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80323_at	80323	LOC80323	CCDC68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
26112_at	26112	LOC26112	CCDC69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
221016_at	79741	LOC79741	CCDC7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79741_at	79741	LOC79741	CCDC7	NA	NA	NA	NA	NA	UP	NA	NA	NA	NA	NA	NA NA
83446_at	83446	LOC83446	CCDC70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64925_at	64925	LOC64925	CCDC71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
168455_at	168455	LOC168455	CCDC71L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
493860_at	493860	LOC493860	CCDC73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
90557_at	90557	LOC90557	CCDC74A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
91409_at	91409	LOC91409	CCDC74B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
84318_at	84318	LOC84318	CCDC77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
124093_at	124093	LOC124093	CCDC78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
283847_at	283847	LOC283847	CCDC79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
83987_at	83987	LOC83987	CCDC8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
