Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_Tcell	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_HALLMARK
8852_at	8852	LOC8852	AKAP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9495_at	9495	LOC9495	AKAP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9472_at	9472	LOC9472	AKAP6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
9465_at	9465	LOC9465	AKAP7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10270_at	10270	LOC10270	AKAP8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
26993_at	26993	LOC26993	AKAP8L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10142_at	10142	LOC10142	AKAP9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
56672_at	56672	LOC56672	AKIP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79647_at	79647	LOC79647	AKIRIN1	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55122_at	55122	LOC55122	AKIRIN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80709_at	80709	LOC80709	AKNA	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
254268_at	254268	LOC254268	AKNAD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10327_at	10327	LOC10327	AKR1A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
441282_at	441282	LOC441282	AKR1B15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1645_at	1645	LOC1645	AKR1C1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
1646_at	1646	LOC1646	AKR1C2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8644_at	8644	LOC8644	AKR1C3	NA	NA	NA	NA	NA	DOWN	NA	NA	NA	NA	NA	NA NA
1109_at	1109	LOC1109	AKR1C4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
389932_at	389932	LOC389932	AKR1C6P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
340811_at	340811	LOC340811	AKR1CL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6718_at	6718	LOC6718	AKR1D1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
